遺構番号,名称,分類,全長,刀身長,茎長,刀身先幅,刀身元幅,刀身元厚,茎先幅,茎元幅,茎先厚
P12,小刀・刀子,刀子小,,,3.2,,0.65,0.2,0.4,0.65,0.2
P101,小刀・刀子,刀子小,,,,,0.7,0.33,,0.7,
P85,小刀･刀子,刀子小,,,1.8,,0.7,0.3,0.5,0.6,0.25
P101,小刀・刀子,刀子小,,,4,,0.75,0.3,0.4,0.55,0.3
P97,小刀･刀子,刀子小,,,,,0.8,0.25,0.85,0.9,0.2
P12,小刀・刀子,刀子小,,,4.1,,1,0.28,0.42,0.8,0.27
P145,小刀･刀子,刀子小,,,3.4,,1,0.3,0.7,0.95,0.2
P96,小刀・刀子,刀子小,,,8.45,,1.14,0.47,0.68,1.12,0.25
P73,小刀･刀子,刀子小,,,,,1.3,0.23,,1.2,
P111,小刀･刀子,刀子小,,,,,1.5,0.4,,1.15,
P120,小刀･刀子,刀子小,,,7.7,,1.6,0.35,0.6,1.3,0.2
P19,小刀･刀子,刀子小,,,6.1,,1.7,0.4,0.7,1.1,0.2
P75,小刀･刀子,刀子小,,,,,1.7,0.3,,1.5,
P7,小刀･刀子,刀子大,,,,,1.8,0.3,0.5,0.9,0.35
P68,小刀･刀子,刀子大,,,,,1.9,0.4,,1.5,
P30,小刀・刀子,刀子大,,,,,2.05,0.4,,1.67,
P12,直刀,小刀,,,9.7,,2.9,0.45,1.2,2.4,0.44
P131,小刀・刀子,刀,,,8.1,,3.6,,0.7,1.8,
P101,小刀・刀子,,,,,,,,0.32,,0.2
P111,小刀･刀子,,,,,1,,,,,
P121,小刀･刀子,,,,,,,,,1.6,
P128,小刀・刀子,,,,,,,,,,
P24,小刀･刀子,,,,,,,,,,0.2
P5,小刀･刀子,,,,,,,,,,
P5,小刀･刀子,,,,,,,,,,
P6,小刀･刀子,,,,,0.85,,,,,
